PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43313,Yes,2,40,Apartment,1,2022-07-19
43334,Yes,2,40,Apartment,1,2022-07-14
43348,Yes,2,40,Apartment,1,2022-08-26
43337,Yes,2,40,Unknown,1,2022-07-21
43276,Yes,5,64,Apartment,4,2022-02-15
43267,Yes,5,50,Unknown,2,2022-02-09
43247,Yes,10,140,Apartment,4,2022-03-14
43246,Yes,6,99,Apartment,3,2021-12-01
43237,Yes,4,64,Apartment,2,2021-10-16
43235,Yes,10,523,Apartment,5,2021-09-01
43233,Yes,5,50,Unknown,2,2021-08-08
43230,Yes,7,105,Unknown,4,2021-07-14
43224,Yes,5,65,Apartment,2,2021-07-18
43221,Yes,7,194,Apartment,3,2021-06-01
43279,Yes,4,55,Apartment,2,2022-03-05
43217,Yes,9,329,Apartment,3,2021-05-17
43215,Yes,5,110,Apartment,2,2021-04-29
43214,Yes,6,100,Unknown,3,2021-04-07
43213,Yes,2,41,Apartment,1,2021-05-02
43212,Yes,2,41,Apartment,2,2021-05-02
43211,Yes,3,41,Apartment,1,2021-05-02
43204,Yes,2,89,Apartment,1,2021-03-18
43194,Yes,8,95,Apartment,3,2021-03-18
43187,Yes,2,60,Apartment,1,2020-12-27
43177,Yes,6,75,Apartment,3,2020-10-25
43176,Yes,6,77,Apartment,2,2021-02-23
43172,Yes,5,90,Unknown,3,2020-11-01
43171,Yes,5,78,Apartment,2,2024-07-19
43170,Yes,4,70,Apartment,2,2020-10-02
43169,Yes,6,92,Apartment,3,2020-09-19
43168,Yes,4,60,Apartment,2,2020-09-24
43167,Yes,6,101,Apartment,3,2020-09-25
43166,Yes,4,47,Unknown,2,2020-08-23
43165,Yes,4,65,Apartment,3,2020-12-01
43164,Yes,6,108,Apartment,3,2020-09-11
43163,Yes,7,96,Apartment,3,2020-09-07
43159,Yes,4,69,Apartment,2,2020-10-15
43139,Yes,4,65,Apartment,2,2020-10-14
43141,Yes,6,82,Apartment,3,2020-07-17
43140,Yes,4,124,Apartment,2,2020-07-17
43137,Yes,9,113,Apartment,4,2020-08-27
43138,Yes,7,111,Unknown,4,2020-09-01
43142,Yes,6,82,Apartment,3,2020-07-17
43143,Yes,6,67,Apartment,3,2020-07-17
43144,Yes,6,50,Apartment,3,2020-07-17
43145,Yes,7,82,Apartment,3,2020-07-17
43146,Yes,6,67,Apartment,3,2020-07-17
43147,Yes,3,71,Apartment,3,2020-07-17
43119,Yes,4,66,Apartment,1,2020-09-08
43120,Yes,4,58,Apartment,2,2020-07-29
43121,Yes,4,58,Apartment,2,2020-08-29
43122,Yes,4,58,Apartment,2,2020-09-13
43123,Yes,4,58,Apartment,2,2020-07-25
43124,Yes,4,58,Apartment,2,2020-09-30
43125,Yes,4,58,Apartment,2,2020-10-13
43126,Yes,4,58,Apartment,2,2020-10-18
43127,Yes,4,58,Apartment,2,2020-10-14
43128,Yes,3,58,Apartment,2,2020-08-29
43118,Yes,6,84,Apartment,2,2020-11-10
43117,Yes,6,58,Apartment,2,2020-10-01
43096,Yes,8,140,Apartment,4,2020-07-10
43158,Yes,4,75,Apartment,2,2020-08-17
43099,Yes,4,75,Apartment,2,2020-07-12
43095,Yes,7,75,Apartment,3,2020-07-01
43076,Yes,7,83,Apartment,3,2020-04-19
43075,Yes,7,106,Apartment,3,2020-04-13
43074,Yes,11,120,Apartment,4,2020-04-20
43069,Yes,9,110,Apartment,3,2020-02-01
43068,Yes,7,80,Apartment,2,2020-01-31
43397,Yes,6,150,Apartment,2,2023-06-23
43066,Yes,12,80,Apartment,5,2019-12-26
43065,Yes,5,100,Apartment,3,2019-12-18
43064,Yes,11,145,Apartment,5,2020-01-18
43061,Yes,6,95,Apartment,2,2019-12-05
43056,Yes,4,50,Apartment,1,2019-10-25
43055,Yes,4,55,Apartment,2,2019-11-11
43054,Yes,6,116,Apartment,2,2019-10-30
43053,Yes,2,67,Apartment,1,2019-10-28
43052,Yes,6,116,Apartment,2,2019-10-31
43051,Yes,2,65,Apartment,1,2019-10-31
43050,Yes,10,148,Apartment,3,2019-11-02
43049,Yes,8,127,Apartment,3,2019-10-28
43048,Yes,8,119,Apartment,3,2019-10-20
43046,Yes,9,120,Unknown,3,2019-08-23
43041,Yes,4,50,Apartment,2,2019-08-02
43042,Yes,4,50,Apartment,2,2019-08-02
43043,Yes,4,50,Unknown,2,2019-08-02
43044,Yes,4,50,Apartment,2,2019-08-02
43038,Yes,6,73,Apartment,2,2019-06-13
43037,Yes,8,106,Apartment,3,2019-06-21
43036,Yes,12,144,Apartment,4,2019-06-06
43035,Yes,6,74,Apartment,2,2019-06-21
43034,Yes,12,163,Apartment,4,2019-06-14
43033,Yes,7,80,Apartment,3,2019-06-12
43031,Yes,8,64,Apartment,3,2019-05-22
43030,Yes,8,80,Apartment,3,2019-05-31
43028,Yes,8,59,Apartment,3,2019-05-24
43026,Yes,5,110,Apartment,4,2019-05-27
43025,Yes,4,60,Apartment,2,2019-05-04
43024,Yes,4,49,Apartment,2,2019-05-03
43019,Yes,6,73,Apartment,4,2019-04-02
43093,Yes,6,68,Apartment,3,2020-12-01
43016,Yes,5,122,Apartment,3,2019-02-25
43015,Yes,5,41,Apartment,2,2019-02-14
43009,Yes,4,67,Apartment,2,2019-02-02
43006,Yes,5,77,Apartment,3,2019-01-16
43004,Yes,4,50,Apartment,2,2018-12-20
43003,Yes,4,50,Apartment,2,2018-12-20
42997,Yes,4,45,Apartment,2,2018-10-24
42998,Yes,4,45,Apartment,2,2018-10-24
42996,Yes,4,50,Apartment,2,2018-08-09
43406,Yes,4,50,Apartment,2,2023-04-29
42995,Yes,4,50,Unknown,2,2018-08-15
42990,Yes,4,40,Apartment,2,2018-05-26
42962,Yes,6,81,Apartment,3,2018-04-21
42954,Yes,3,80,Apartment,2,2018-05-02
43507,Yes,6,100,Apartment,3,2024-03-30
42684,Yes,3,70,Apartment,1,2017-03-07
42674,Yes,2,40,Apartment,1,2017-02-25
42652,Yes,6,70,Apartment,3,2017-02-27
42608,Yes,4,60,Apartment,2,2016-11-16
42607,Yes,4,55,Apartment,1,2016-11-18
42673,Yes,6,70,Apartment,4,2017-03-01
42605,Yes,6,70,Apartment,4,2017-02-26
42807,Yes,5,64,Apartment,4,2017-06-27
42888,Yes,5,64,Apartment,3,2018-02-24
43408,Yes,5,64,Apartment,4,2023-06-07
42994,Yes,5,64,Apartment,4,2018-07-03
21699,Yes,4,69,Apartment,2,2016-05-25
14947,Yes,4,45,Apartment,1,2016-05-06
12688,Yes,6,70,Apartment,2,2016-05-05
9973,Yes,6,60,Apartment,2,2016-02-14
9971,Yes,4,70,Apartment,2,2016-02-23
6286,Yes,4,70,Apartment,2,2015-05-29
5934,Yes,4,40,Apartment,1,2015-03-01
5933,Yes,4,40,Apartment,1,2015-02-28
5932,Yes,6,65,Unknown,2,2015-02-28
5931,Yes,4,40,Apartment,1,2015-02-28
5930,Yes,4,40,Apartment,1,2015-02-27
42852,Yes,7,100,Apartment,4,2017-11-09
4952,Yes,6,89,Apartment,3,2014-07-03
4789,Yes,4,45,Apartment,1,2014-05-01
4785,Yes,4,45,Apartment,1,2014-05-25
4790,Yes,4,45,Apartment,1,2014-05-01
4788,Yes,4,45,Apartment,1,2014-05-10
4787,Yes,6,45,Apartment,2,2014-05-01
4786,Yes,6,45,Apartment,2,2014-05-01
3963,Yes,4,50,Apartment,1,2013-06-13
4928,Yes,3,80,Apartment,2,2014-06-11
4259,Yes,6,80,Apartment,3,2013-10-21
2883,Yes,8,110,Apartment,3,2011-12-28
4138,Yes,5,60,Apartment,2,2013-08-07
4869,Yes,5,70,Unknown,3,2014-05-30
4710,Yes,6,75,Apartment,3,2014-04-15
43493,Yes,5,50,Apartment,2,2024-02-23
43163,Yes,8,96,Apartment,3,2020-09-07
43016,Yes,6,122,Apartment,3,2019-02-25
43495,Yes,7,67,Apartment,4,2024-06-07
43517,Yes,5,64,Apartment,1,2024-05-24
43026,Yes,6,110,Apartment,4,2019-05-27
43539,Yes,5,70,Apartment,2,2024-03-20
42996,Yes,5,50,Apartment,2,2018-08-09
43528,Yes,3,70,Apartment,1,2024-03-26
43621,Yes,6,64,Apartment,4,2024-09-20
43221,Yes,8,194,Apartment,3,2021-06-01
43303,Yes,3,47,Apartment,1,2022-05-16
43138,Yes,8,111,Apartment,4,2020-09-01
43363,Yes,5,60,Apartment,2,2022-11-13
43164,Yes,7,108,Apartment,3,2020-09-11
43316,Yes,3,100,Apartment,1,2022-07-01
43074,Yes,12,120,Apartment,4,2020-04-20
43542,Yes,7,70,Apartment,3,2024-03-25
43428,Yes,5,65,Apartment,2,2023-05-28
43445,Yes,5,57,Apartment,1,2023-11-03
43319,Yes,3,65,Unknown,1,2022-06-07
43279,Yes,5,55,Apartment,2,2022-03-05
43093,Yes,7,68,Apartment,3,2020-12-01
43069,Yes,10,110,Apartment,3,2020-02-01
9973,Yes,7,60,Apartment,2,2016-02-14
43056,Yes,5,50,Apartment,1,2019-10-25
21699,Yes,5,69,Apartment,2,2016-05-25
43030,Yes,9,80,Apartment,3,2019-05-31
